name,gpu_model,vram_mb,cuda_cores,price_per_hour_usd_cents,driver_major,driver_minor
FireStream 9170,FireStream 9170,2048,320,210,536,27
FireStream 9250,FireStream 9250,1024,800,218,535,28
FireStream 9270,FireStream 9270,2048,800,222,535,38
Radeon HD 6570M Mac Edition,Radeon HD 6570M Mac Edition,1024,400,207,536,48
FirePro M3900,FirePro M3900,1024,160,204,535,38
FirePro RG220,FirePro RG220,512,80,202,534,37
FirePro RG220A,FirePro RG220A,512,80,202,535,50
FireStream 9350,FireStream 9350,2048,1440,234,534,35
FireStream 9370,FireStream 9370,4096,1600,246,535,39
Radeon HD 6250 IGP,Radeon HD 6250 IGP,0,80,201,536,27
Radeon HD 6310 IGP,Radeon HD 6310 IGP,0,80,201,536,38
Radeon HD 6310 IGP,Radeon HD 6310 IGP,0,80,201,535,24
Radeon HD 6330M,Radeon HD 6330M,1024,80,201,535,35
Radeon HD 6350M,Radeon HD 6350M,1024,80,201,535,38
Radeon HD 6370M,Radeon HD 6370M,1024,80,202,536,32
Radeon HD 6530M,Radeon HD 6530M,1024,400,206,535,21
Radeon HD 6550M,Radeon HD 6550M,1024,400,207,534,32
Radeon HD 6550M,Radeon HD 6550M,1024,400,208,535,45
Radeon HD 6570M,Radeon HD 6570M,1024,400,208,535,43
Radeon HD 6850,Radeon HD 6850,1024,960,225,536,35
Radeon HD 6870,Radeon HD 6870,1024,1120,234,535,34
Radeon HD 6950,Radeon HD 6950,2048,1408,239,535,30
Radeon HD 6970,Radeon HD 6970,2048,1536,247,534,21
FirePro 2270,FirePro 2270,512,80,201,535,27
FirePro 2270 PCIe x1,FirePro 2270 PCIe x1,512,80,201,535,39
FirePro M5950,FirePro M5950,1024,480,211,535,34
FirePro M8900,FirePro M8900,2048,960,221,536,32
FirePro V4900,FirePro V4900,1024,480,213,535,50
FirePro V5900,FirePro V5900,2048,512,211,534,45
FirePro V7900,FirePro V7900,2048,1280,232,534,39
FirePro V7900 SDI,FirePro V7900 SDI,2048,1280,232,535,34
Radeon E6460,Radeon E6460,512,160,203,536,41
Radeon E6760 MXM,Radeon E6760 MXM,1024,480,209,535,46
Radeon E6760 PCIe,Radeon E6760 PCIe,1024,480,209,535,41
Radeon HD 6230,Radeon HD 6230,512,80,202,535,49
Radeon HD 6250,Radeon HD 6250,512,80,202,536,20
Radeon HD 6290,Radeon HD 6290,1024,80,202,534,36
Radeon HD 6290 IGP,Radeon HD 6290 IGP,0,80,200,534,34
Radeon HD 6320 IGP,Radeon HD 6320 IGP,0,80,201,536,31
Radeon HD 6350,Radeon HD 6350,512,80,202,536,33
Radeon HD 6350,Radeon HD 6350,512,80,202,535,23
Radeon HD 6350A,Radeon HD 6350A,512,80,202,534,22
Radeon HD 6370D IGP,Radeon HD 6370D IGP,0,160,203,535,25
Radeon HD 6380G IGP,Radeon HD 6380G IGP,0,160,202,534,30
Radeon HD 6390,Radeon HD 6390,1024,320,206,536,50
